DATE,DEXSIUS
2000-01-03,1.6563
2000-01-04,1.6535
2000-01-05,1.6560
2000-01-06,1.6655
2000-01-07,1.6625
2000-01-10,1.6618
2000-01-11,1.6690
2000-01-12,1.6690
2000-01-13,1.6700
2000-01-14,1.6752
2000-01-17,.
2000-01-18,1.6735
2000-01-19,1.6753
2000-01-20,1.6765
2000-01-21,1.6810
2000-01-24,1.6825
2000-01-25,1.6867
2000-01-26,1.6950
2000-01-27,1.6930
2000-01-28,1.7100
2000-01-31,1.7010
2000-02-01,1.6990
2000-02-02,1.6985
2000-02-03,1.6925
2000-02-04,1.6930
2000-02-07,1.6958
2000-02-08,1.6968
2000-02-09,1.6918
2000-02-10,1.6929
2000-02-11,1.6947
2000-02-14,1.6975
2000-02-15,1.6960
2000-02-16,1.7033
2000-02-17,1.7060
2000-02-18,1.7058
2000-02-21,.
2000-02-22,1.7085
2000-02-23,1.7140
2000-02-24,1.7165
2000-02-25,1.7110
2000-02-28,1.7185
2000-02-29,1.7237
2000-03-01,1.7182
2000-03-02,1.7214
2000-03-03,1.7253
2000-03-06,1.7252
2000-03-07,1.7199
2000-03-08,1.7140
2000-03-09,1.7080
2000-03-10,1.7035
2000-03-13,1.7068
2000-03-14,1.7095
2000-03-15,1.7150
2000-03-16,1.7120
2000-03-17,1.7161
2000-03-20,1.7200
2000-03-21,1.7188
2000-03-22,1.7125
2000-03-23,1.7115
2000-03-24,1.7160
2000-03-27,1.7160
2000-03-28,1.7150
2000-03-29,1.7168
2000-03-30,1.7194
2000-03-31,1.7120
2000-04-03,1.7173
2000-04-04,1.7183
2000-04-05,1.7160
2000-04-06,1.7150
2000-04-07,1.7162
2000-04-10,1.7190
2000-04-11,1.7200
2000-04-12,1.7193
2000-04-13,1.7160
2000-04-14,1.7078
2000-04-17,1.7069
2000-04-18,1.6990
2000-04-19,1.6992
2000-04-20,1.6978
2000-04-21,1.6990
2000-04-24,1.7020
2000-04-25,1.7040
2000-04-26,1.7055
2000-04-27,1.7070
2000-04-28,1.7065
2000-05-01,1.7090
2000-05-02,1.7178
2000-05-03,1.7215
2000-05-04,1.7220
2000-05-05,1.7222
2000-05-08,1.7235
2000-05-09,1.7295
2000-05-10,1.7290
2000-05-11,1.7263
2000-05-12,1.7278
2000-05-15,1.7335
2000-05-16,1.7325
2000-05-17,1.7340
2000-05-18,1.7340
2000-05-19,1.7275
2000-05-22,1.7317
2000-05-23,1.7350
2000-05-24,1.7370
2000-05-25,1.7328
2000-05-26,1.7343
2000-05-29,.
2000-05-30,1.7332
2000-05-31,1.7345
2000-06-01,1.7320
2000-06-02,1.7240
2000-06-05,1.7205
2000-06-06,1.7205
2000-06-07,1.7220
2000-06-08,1.7205
2000-06-09,1.7230
2000-06-12,1.7225
2000-06-13,1.7213
2000-06-14,1.7215
2000-06-15,1.7245
2000-06-16,1.7258
2000-06-19,1.7322
2000-06-20,1.7330
2000-06-21,1.7340
2000-06-22,1.7345
2000-06-23,1.7325
2000-06-26,1.7341
2000-06-27,1.7343
2000-06-28,1.7350
2000-06-29,1.7345
2000-06-30,1.7275
2000-07-03,1.7327
2000-07-04,.
2000-07-05,1.7380
2000-07-06,1.7367
2000-07-07,1.7370
2000-07-10,1.7385
2000-07-11,1.7435
2000-07-12,1.7435
2000-07-13,1.7435
2000-07-14,1.7432
2000-07-17,1.7478
2000-07-18,1.7465
2000-07-19,1.7460
2000-07-20,1.7458
2000-07-21,1.7480
2000-07-24,1.7447
2000-07-25,1.7455
2000-07-26,1.7428
2000-07-27,1.7346
2000-07-28,1.7350
2000-07-31,1.7342
2000-08-01,1.7320
2000-08-02,1.7270
2000-08-03,1.7248
2000-08-04,1.7215
2000-08-07,1.7268
2000-08-08,1.7255
2000-08-09,1.7210
2000-08-10,1.7145
2000-08-11,1.7133
2000-08-14,1.7163
2000-08-15,1.7190
2000-08-16,1.7175
2000-08-17,1.7163
2000-08-18,1.7187
2000-08-21,1.7170
2000-08-22,1.7170
2000-08-23,1.7190
2000-08-24,1.7215
2000-08-25,1.7210
2000-08-28,1.7190
2000-08-29,1.7208
2000-08-30,1.7228
2000-08-31,1.7213
2000-09-01,1.7210
2000-09-04,.
2000-09-05,1.7270
2000-09-06,1.7320
2000-09-07,1.7323
2000-09-08,1.7372
2000-09-11,1.7380
2000-09-12,1.7420
2000-09-13,1.7455
2000-09-14,1.7405
2000-09-15,1.7442
2000-09-18,1.7478
2000-09-19,1.7440
2000-09-20,1.7485
2000-09-21,1.7470
2000-09-22,1.7490
2000-09-25,1.7470
2000-09-26,1.7415
2000-09-27,1.7435
2000-09-28,1.7440
2000-09-29,1.7395
2000-10-02,1.7420
2000-10-03,1.7442
2000-10-04,1.7505
2000-10-05,1.7496
2000-10-06,1.7490
2000-10-09,.
2000-10-10,1.7500
2000-10-11,1.7504
2000-10-12,1.7555
2000-10-13,1.7545
2000-10-16,1.7540
2000-10-17,1.7555
2000-10-18,1.7570
2000-10-19,1.7523
2000-10-20,1.7547
2000-10-23,1.7547
2000-10-24,1.7515
2000-10-25,1.7545
2000-10-26,1.7553
2000-10-27,1.7558
2000-10-30,1.7556
2000-10-31,1.7568
2000-11-01,1.7447
2000-11-02,1.7433
2000-11-03,1.7335
2000-11-06,1.7323
2000-11-07,1.7364
2000-11-08,1.7383
2000-11-09,1.7405
2000-11-10,1.7432
2000-11-13,1.7435
2000-11-14,1.7440
2000-11-15,1.7455
2000-11-16,1.7525
2000-11-17,1.7545
2000-11-20,1.7570
2000-11-21,1.7569
2000-11-22,1.7555
2000-11-23,.
2000-11-24,1.7600
2000-11-27,1.7542
2000-11-28,1.7560
2000-11-29,1.7575
2000-11-30,1.7547
2000-12-01,1.7490
2000-12-04,1.7445
2000-12-05,1.7438
2000-12-06,1.7430
2000-12-07,1.7335
2000-12-08,1.7363
2000-12-11,1.7332
2000-12-12,1.7355
2000-12-13,1.7415
2000-12-14,1.7380
2000-12-15,1.7355
2000-12-18,1.7373
2000-12-19,1.7375
2000-12-20,1.7318
2000-12-21,1.7317
2000-12-22,1.7258
2000-12-25,.
2000-12-26,1.7270
2000-12-27,1.7325
2000-12-28,1.7335
2000-12-29,1.7315
2001-01-01,.
2001-01-02,1.7370
2001-01-03,1.7325
2001-01-04,1.7370
2001-01-05,1.7322
2001-01-08,1.7275
2001-01-09,1.7328
2001-01-10,1.7333
2001-01-11,1.7352
2001-01-12,1.7328
2001-01-15,.
2001-01-16,1.7338
2001-01-17,1.7340
2001-01-18,1.7393
2001-01-19,1.7380
2001-01-22,1.7373
2001-01-23,1.7425
2001-01-24,1.7445
2001-01-25,1.7420
2001-01-26,1.7500
2001-01-29,1.7470
2001-01-30,1.7460
2001-01-31,1.7438
2001-02-01,1.7370
2001-02-02,1.7390
2001-02-05,1.7413
2001-02-06,1.7435
2001-02-07,1.7485
2001-02-08,1.7480
2001-02-09,1.7470
2001-02-12,1.7458
2001-02-13,1.7453
2001-02-14,1.7455
2001-02-15,1.7435
2001-02-16,1.7386
2001-02-19,.
2001-02-20,1.7400
2001-02-21,1.7445
2001-02-22,1.7445
2001-02-23,1.7448
2001-02-26,1.7443
2001-02-27,1.7410
2001-02-28,1.7451
2001-03-01,1.7468
2001-03-02,1.7500
2001-03-05,1.7565
2001-03-06,1.7565
2001-03-07,1.7588
2001-03-08,1.7565
2001-03-09,1.7558
2001-03-12,1.7618
2001-03-13,1.7612
2001-03-14,1.7670
2001-03-15,1.7700
2001-03-16,1.7775
2001-03-19,1.7685
2001-03-20,1.7765
2001-03-21,1.7855
2001-03-22,1.7890
2001-03-23,1.7847
2001-03-26,1.7930
2001-03-27,1.7923
2001-03-28,1.7975
2001-03-29,1.8010
2001-03-30,1.8050
2001-04-02,1.8157
2001-04-03,1.8115
2001-04-04,1.8166
2001-04-05,1.8090
2001-04-06,1.8140
2001-04-09,1.8162
2001-04-10,1.8135
2001-04-11,1.8070
2001-04-12,1.8035
2001-04-13,1.8050
2001-04-16,1.8117
2001-04-17,1.8085
2001-04-18,1.7998
2001-04-19,1.8065
2001-04-20,1.8136
2001-04-23,1.8072
2001-04-24,1.8135
2001-04-25,1.8175
2001-04-26,1.8170
2001-04-27,1.8190
2001-04-30,1.8210
2001-05-01,1.8135
2001-05-02,1.8164
2001-05-03,1.8210
2001-05-04,1.8225
2001-05-07,1.8255
2001-05-08,1.8234
2001-05-09,1.8230
2001-05-10,1.8165
2001-05-11,1.8132
2001-05-14,1.8190
2001-05-15,1.8191
2001-05-16,1.8130
2001-05-17,1.8087
2001-05-18,1.8113
2001-05-21,1.8108
2001-05-22,1.8098
2001-05-23,1.8052
2001-05-24,1.8005
2001-05-25,1.8093
2001-05-28,.
2001-05-29,1.8085
2001-05-30,1.8110
2001-05-31,1.8095
2001-06-01,1.8140
2001-06-04,1.8160
2001-06-05,1.8120
2001-06-06,1.8135
2001-06-07,1.8095
2001-06-08,1.8094
2001-06-11,1.8140
2001-06-12,1.8165
2001-06-13,1.8165
2001-06-14,1.8140
2001-06-15,1.8160
2001-06-18,1.8173
2001-06-19,1.8175
2001-06-20,1.8202
2001-06-21,1.8233
2001-06-22,1.8210
2001-06-25,1.8192
2001-06-26,1.8205
2001-06-27,1.8215
2001-06-28,1.8230
2001-06-29,1.8225
2001-07-02,1.8227
2001-07-03,1.8232
2001-07-04,.
2001-07-05,1.8250
2001-07-06,1.8275
2001-07-09,1.8281
2001-07-10,1.8347
2001-07-11,1.8365
2001-07-12,1.8347
2001-07-13,1.8375
2001-07-16,1.8365
2001-07-17,1.8338
2001-07-18,1.8300
2001-07-19,1.8260
2001-07-20,1.8240
2001-07-23,1.8265
